order_id,customer_id,product_id,quantity,unit_price,discount,tax,order_date,region,sales_person,payment_method,status
1001,C001,P001,2,49.99,0.1,8.99,2023-01-15,North,John Smith,Credit Card,Completed
1002,C002,P002,1,199.99,0.05,19.99,2023-01-16,South,Jane Doe,PayPal,Completed
1003,C003,P003,3,29.99,0.0,8.99,2023-01-17,East,Robert Johnson,Bank Transfer,Pending
1004,C004,P001,5,49.99,0.15,22.49,2023-01-18,West,Maria Garcia,Credit Card,Completed
1005,C005,P004,1,999.99,0.2,199.99,2023-01-19,North,Michael Brown,Cash,Completed
1006,C001,P005,2,149.99,0.1,29.99,2023-01-20,South,John Smith,PayPal,Completed
1007,C006,P002,1,199.99,0.0,19.99,2023-01-21,East,Emily Davis,Credit Card,Cancelled
1008,C007,P003,4,29.99,0.05,11.99,2023-01-22,West,David Wilson,Bank Transfer,Completed
1009,C002,P001,3,49.99,0.1,13.49,2023-01-23,North,Jane Doe,Cash,Pending
1010,C008,P004,2,999.99,0.25,399.99,2023-01-24,South,Robert Johnson,Credit Card,Completed
1011,C009,P005,1,149.99,0.0,14.99,2023-01-25,East,Maria Garcia,PayPal,Completed
1012,C010,P002,2,199.99,0.15,59.99,2023-01-26,West,Michael Brown,Bank Transfer,Completed
1013,C003,P003,1,29.99,0.0,2.99,2023-01-27,North,Emily Davis,Cash,Completed
1014,C011,P001,10,49.99,0.3,149.97,2023-01-28,South,David Wilson,Credit Card,Completed
1015,C012,P004,1,999.99,0.1,99.99,2023-01-29,East,John Smith,PayPal,Cancelled
1016,C013,P005,3,149.99,0.2,89.99,2023-01-30,West,Jane Doe,Bank Transfer,Completed
1017,C014,P002,1,199.99,0.05,19.99,2023-01-31,North,Robert Johnson,Cash,Completed
1018,C015,P003,2,29.99,0.0,5.99,2023-02-01,South,Maria Garcia,Credit Card,Pending
1019,C016,P001,4,49.99,0.15,29.99,2023-02-02,East,Michael Brown,PayPal,Completed
1020,C017,P004,1,999.99,0.0,99.99,2023-02-03,West,Emily Davis,Bank Transfer,Completed
